KDA,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion
0/3/7,0,0.1,○,15.4k,0.0k,14.8k,0.6k,182.3k,17.4k,161.4k,3.4k,-,3.4k.1,0.6k.1,2.5k,17.2k,10.2k,6.5k,0.6k.2,23,3,-.1,10,13.3k,11.3k,276,9,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rumble
4/0/9,4,2,○,11.3k,0.4k,9.6k,1.2k,187.7k,42.0k,123.6k,22.1k,-,36.4k,3.9k,12.1k,20.0k,12.7k,7.1k,0.2k,47,26,-,17,13.5k,12.2k,40,170,130,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
5/2/5,4,1,○,17.4k,15.2k,1.3k,0.9k,208.3k,185.6k,21.7k,1.0k,-,4.9k,3.0k,4.5k,13.8k,8.2k,5.1k,0.5k,39,32,-,7,15.4k,14.2k,312,8,2,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Qiyana
7/1/9,5,2,○,29.4k,27.2k,1.1k,1.0k,335.2k,322.6k,4.8k,7.8k,1144,23.5k,7.9k,1.3k,9.1k,7.7k,1.2k,0.2k,20,30,-,8,18.9k,16.5k,391,29,29,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
1/5/3,1,1,○,4.1k,0.6k,2.5k,1.0k,20.3k,5.8k,5.0k,9.4k,-,2.7k,0.0k,0.0k,13.0k,7.2k,5.6k,0.3k,62,6,-,25,7.8k,8.0k,30,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Nautilus
3/4/1,2,1,○,5.9k,5.9k,0.0k,0.0k,197.2k,189.5k,0.0k,7.8k,-,15.0k,2.5k,8.9k,28.9k,15.8k,9.2k,3.9k,23,15,-,11,13.9k,13.7k,277,27,18,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Aatrox
1/4/7,1,1,●,10.5k,0.2k,9.4k,0.9k,198.2k,30.1k,155.4k,12.7k,-,21.7k,0.0k,14.7k,28.4k,22.9k,5.2k,0.3k,40,13,-,18,10.8k,10.8k,20,186,151,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Gragas
3/3/3,2,1,○,11.1k,1.1k,10.0k,0.0k,246.0k,27.4k,218.6k,0.0k,-,14.6k,0.9k,7.1k,20.7k,13.1k,6.6k,1.0k,20,17,-,10,14.5k,14.0k,326,27,1,4,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Mordekaiser
4/3/4,3,1,○,17.3k,16.2k,0.7k,0.4k,275.2k,269.1k,1.1k,5.0k,961,14.7k,1.9k,1.5k,14.3k,9.3k,4.8k,0.1k,17,22,-,9,15.5k,15.7k,347,31,23,1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Xayah
0/3/10,0,0,○,3.9k,0.1k,3.3k,0.4k,21.8k,5.6k,7.5k,8.7k,-,3.6k,0.0k,5.3k,16.3k,9.2k,6.4k,0.7k,72,24,-,21,7.9k,7.9k,51,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rakan
0/3/7,0,0.1,○,15.4k,0.0k,14.8k,0.6k,182.3k,17.4k,161.4k,3.4k,-,3.4k.1,0.6k.1,2.5k,17.2k,10.2k,6.5k,0.6k.2,23,3,-.1,10,13.3k,11.3k,276,9,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rumble
4/0/9,4,2,○,11.3k,0.4k,9.6k,1.2k,187.7k,42.0k,123.6k,22.1k,-,36.4k,3.9k,12.1k,20.0k,12.7k,7.1k,0.2k,47,26,-,17,13.5k,12.2k,40,170,130,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
5/2/5,4,1,○,17.4k,15.2k,1.3k,0.9k,208.3k,185.6k,21.7k,1.0k,-,4.9k,3.0k,4.5k,13.8k,8.2k,5.1k,0.5k,39,32,-,7,15.4k,14.2k,312,8,2,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Qiyana
7/1/9,5,2,○,29.4k,27.2k,1.1k,1.0k,335.2k,322.6k,4.8k,7.8k,1144,23.5k,7.9k,1.3k,9.1k,7.7k,1.2k,0.2k,20,30,-,8,18.9k,16.5k,391,29,29,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
1/5/3,1,1,○,4.1k,0.6k,2.5k,1.0k,20.3k,5.8k,5.0k,9.4k,-,2.7k,0.0k,0.0k,13.0k,7.2k,5.6k,0.3k,62,6,-,25,7.8k,8.0k,30,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Nautilus
3/4/1,2,1,○,5.9k,5.9k,0.0k,0.0k,197.2k,189.5k,0.0k,7.8k,-,15.0k,2.5k,8.9k,28.9k,15.8k,9.2k,3.9k,23,15,-,11,13.9k,13.7k,277,27,18,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Aatrox
1/4/7,1,1,●,10.5k,0.2k,9.4k,0.9k,198.2k,30.1k,155.4k,12.7k,-,21.7k,0.0k,14.7k,28.4k,22.9k,5.2k,0.3k,40,13,-,18,10.8k,10.8k,20,186,151,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Gragas
3/3/3,2,1,○,11.1k,1.1k,10.0k,0.0k,246.0k,27.4k,218.6k,0.0k,-,14.6k,0.9k,7.1k,20.7k,13.1k,6.6k,1.0k,20,17,-,10,14.5k,14.0k,326,27,1,4,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Mordekaiser
4/3/4,3,1,○,17.3k,16.2k,0.7k,0.4k,275.2k,269.1k,1.1k,5.0k,961,14.7k,1.9k,1.5k,14.3k,9.3k,4.8k,0.1k,17,22,-,9,15.5k,15.7k,347,31,23,1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Xayah
0/3/10,0,0,○,3.9k,0.1k,3.3k,0.4k,21.8k,5.6k,7.5k,8.7k,-,3.6k,0.0k,5.3k,16.3k,9.2k,6.4k,0.7k,72,24,-,21,7.9k,7.9k,51,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rakan
0/3/7,0,0.1,○,15.4k,0.0k,14.8k,0.6k,182.3k,17.4k,161.4k,3.4k,-,3.4k.1,0.6k.1,2.5k,17.2k,10.2k,6.5k,0.6k.2,23,3,-.1,10,13.3k,11.3k,276,9,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rumble
4/0/9,4,2,○,11.3k,0.4k,9.6k,1.2k,187.7k,42.0k,123.6k,22.1k,-,36.4k,3.9k,12.1k,20.0k,12.7k,7.1k,0.2k,47,26,-,17,13.5k,12.2k,40,170,130,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
5/2/5,4,1,○,17.4k,15.2k,1.3k,0.9k,208.3k,185.6k,21.7k,1.0k,-,4.9k,3.0k,4.5k,13.8k,8.2k,5.1k,0.5k,39,32,-,7,15.4k,14.2k,312,8,2,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Qiyana
7/1/9,5,2,○,29.4k,27.2k,1.1k,1.0k,335.2k,322.6k,4.8k,7.8k,1144,23.5k,7.9k,1.3k,9.1k,7.7k,1.2k,0.2k,20,30,-,8,18.9k,16.5k,391,29,29,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
1/5/3,1,1,○,4.1k,0.6k,2.5k,1.0k,20.3k,5.8k,5.0k,9.4k,-,2.7k,0.0k,0.0k,13.0k,7.2k,5.6k,0.3k,62,6,-,25,7.8k,8.0k,30,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Nautilus
3/4/1,2,1,○,5.9k,5.9k,0.0k,0.0k,197.2k,189.5k,0.0k,7.8k,-,15.0k,2.5k,8.9k,28.9k,15.8k,9.2k,3.9k,23,15,-,11,13.9k,13.7k,277,27,18,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Aatrox
1/4/7,1,1,●,10.5k,0.2k,9.4k,0.9k,198.2k,30.1k,155.4k,12.7k,-,21.7k,0.0k,14.7k,28.4k,22.9k,5.2k,0.3k,40,13,-,18,10.8k,10.8k,20,186,151,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Gragas
3/3/3,2,1,○,11.1k,1.1k,10.0k,0.0k,246.0k,27.4k,218.6k,0.0k,-,14.6k,0.9k,7.1k,20.7k,13.1k,6.6k,1.0k,20,17,-,10,14.5k,14.0k,326,27,1,4,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Mordekaiser
4/3/4,3,1,○,17.3k,16.2k,0.7k,0.4k,275.2k,269.1k,1.1k,5.0k,961,14.7k,1.9k,1.5k,14.3k,9.3k,4.8k,0.1k,17,22,-,9,15.5k,15.7k,347,31,23,1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Xayah
0/3/10,0,0,○,3.9k,0.1k,3.3k,0.4k,21.8k,5.6k,7.5k,8.7k,-,3.6k,0.0k,5.3k,16.3k,9.2k,6.4k,0.7k,72,24,-,21,7.9k,7.9k,51,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rakan
0/3/7,0,0.1,○,15.4k,0.0k,14.8k,0.6k,182.3k,17.4k,161.4k,3.4k,-,3.4k.1,0.6k.1,2.5k,17.2k,10.2k,6.5k,0.6k.2,23,3,-.1,10,13.3k,11.3k,276,9,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rumble
4/0/9,4,2,○,11.3k,0.4k,9.6k,1.2k,187.7k,42.0k,123.6k,22.1k,-,36.4k,3.9k,12.1k,20.0k,12.7k,7.1k,0.2k,47,26,-,17,13.5k,12.2k,40,170,130,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
5/2/5,4,1,○,17.4k,15.2k,1.3k,0.9k,208.3k,185.6k,21.7k,1.0k,-,4.9k,3.0k,4.5k,13.8k,8.2k,5.1k,0.5k,39,32,-,7,15.4k,14.2k,312,8,2,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Qiyana
7/1/9,5,2,○,29.4k,27.2k,1.1k,1.0k,335.2k,322.6k,4.8k,7.8k,1144,23.5k,7.9k,1.3k,9.1k,7.7k,1.2k,0.2k,20,30,-,8,18.9k,16.5k,391,29,29,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
1/5/3,1,1,○,4.1k,0.6k,2.5k,1.0k,20.3k,5.8k,5.0k,9.4k,-,2.7k,0.0k,0.0k,13.0k,7.2k,5.6k,0.3k,62,6,-,25,7.8k,8.0k,30,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Nautilus
3/4/1,2,1,○,5.9k,5.9k,0.0k,0.0k,197.2k,189.5k,0.0k,7.8k,-,15.0k,2.5k,8.9k,28.9k,15.8k,9.2k,3.9k,23,15,-,11,13.9k,13.7k,277,27,18,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Aatrox
1/4/7,1,1,●,10.5k,0.2k,9.4k,0.9k,198.2k,30.1k,155.4k,12.7k,-,21.7k,0.0k,14.7k,28.4k,22.9k,5.2k,0.3k,40,13,-,18,10.8k,10.8k,20,186,151,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Gragas
3/3/3,2,1,○,11.1k,1.1k,10.0k,0.0k,246.0k,27.4k,218.6k,0.0k,-,14.6k,0.9k,7.1k,20.7k,13.1k,6.6k,1.0k,20,17,-,10,14.5k,14.0k,326,27,1,4,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Mordekaiser
4/3/4,3,1,○,17.3k,16.2k,0.7k,0.4k,275.2k,269.1k,1.1k,5.0k,961,14.7k,1.9k,1.5k,14.3k,9.3k,4.8k,0.1k,17,22,-,9,15.5k,15.7k,347,31,23,1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Xayah
0/3/10,0,0,○,3.9k,0.1k,3.3k,0.4k,21.8k,5.6k,7.5k,8.7k,-,3.6k,0.0k,5.3k,16.3k,9.2k,6.4k,0.7k,72,24,-,21,7.9k,7.9k,51,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rakan
0/3/7,0,0.1,○,15.4k,0.0k,14.8k,0.6k,182.3k,17.4k,161.4k,3.4k,-,3.4k.1,0.6k.1,2.5k,17.2k,10.2k,6.5k,0.6k.2,23,3,-.1,10,13.3k,11.3k,276,9,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rumble
4/0/9,4,2,○,11.3k,0.4k,9.6k,1.2k,187.7k,42.0k,123.6k,22.1k,-,36.4k,3.9k,12.1k,20.0k,12.7k,7.1k,0.2k,47,26,-,17,13.5k,12.2k,40,170,130,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
5/2/5,4,1,○,17.4k,15.2k,1.3k,0.9k,208.3k,185.6k,21.7k,1.0k,-,4.9k,3.0k,4.5k,13.8k,8.2k,5.1k,0.5k,39,32,-,7,15.4k,14.2k,312,8,2,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Qiyana
7/1/9,5,2,○,29.4k,27.2k,1.1k,1.0k,335.2k,322.6k,4.8k,7.8k,1144,23.5k,7.9k,1.3k,9.1k,7.7k,1.2k,0.2k,20,30,-,8,18.9k,16.5k,391,29,29,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
1/5/3,1,1,○,4.1k,0.6k,2.5k,1.0k,20.3k,5.8k,5.0k,9.4k,-,2.7k,0.0k,0.0k,13.0k,7.2k,5.6k,0.3k,62,6,-,25,7.8k,8.0k,30,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Nautilus
3/4/1,2,1,○,5.9k,5.9k,0.0k,0.0k,197.2k,189.5k,0.0k,7.8k,-,15.0k,2.5k,8.9k,28.9k,15.8k,9.2k,3.9k,23,15,-,11,13.9k,13.7k,277,27,18,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Aatrox
1/4/7,1,1,●,10.5k,0.2k,9.4k,0.9k,198.2k,30.1k,155.4k,12.7k,-,21.7k,0.0k,14.7k,28.4k,22.9k,5.2k,0.3k,40,13,-,18,10.8k,10.8k,20,186,151,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Gragas
3/3/3,2,1,○,11.1k,1.1k,10.0k,0.0k,246.0k,27.4k,218.6k,0.0k,-,14.6k,0.9k,7.1k,20.7k,13.1k,6.6k,1.0k,20,17,-,10,14.5k,14.0k,326,27,1,4,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Mordekaiser
4/3/4,3,1,○,17.3k,16.2k,0.7k,0.4k,275.2k,269.1k,1.1k,5.0k,961,14.7k,1.9k,1.5k,14.3k,9.3k,4.8k,0.1k,17,22,-,9,15.5k,15.7k,347,31,23,1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Xayah
0/3/10,0,0,○,3.9k,0.1k,3.3k,0.4k,21.8k,5.6k,7.5k,8.7k,-,3.6k,0.0k,5.3k,16.3k,9.2k,6.4k,0.7k,72,24,-,21,7.9k,7.9k,51,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rakan
0/3/7,0,0.1,○,15.4k,0.0k,14.8k,0.6k,182.3k,17.4k,161.4k,3.4k,-,3.4k.1,0.6k.1,2.5k,17.2k,10.2k,6.5k,0.6k.2,23,3,-.1,10,13.3k,11.3k,276,9,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rumble
4/0/9,4,2,○,11.3k,0.4k,9.6k,1.2k,187.7k,42.0k,123.6k,22.1k,-,36.4k,3.9k,12.1k,20.0k,12.7k,7.1k,0.2k,47,26,-,17,13.5k,12.2k,40,170,130,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
5/2/5,4,1,○,17.4k,15.2k,1.3k,0.9k,208.3k,185.6k,21.7k,1.0k,-,4.9k,3.0k,4.5k,13.8k,8.2k,5.1k,0.5k,39,32,-,7,15.4k,14.2k,312,8,2,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Qiyana
